created_at,author_id,retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,text,id,referenced_tweets_type,referenced_tweets_id,media
2024-10-10T09:33:39.000Z,29813965,1,126,264,3,8,27101,Is content creation a 'difficult job' according to you?,1.84E+18,,,
2024-10-09T19:46:54.000Z,29813965,709,86,16225,5,97,129652,"The nation has lost one of its greatest sons. 

Thank you for everything you did for India, Tata saab. 

Humility personified.
Quiet aggression personified.

Heaven will be blessed with his presence. https://t.co/sQ8kJcssma",1.84E+18,,,multiple_images
2024-10-05T19:45:20.000Z,29813965,3,6,63,0,13,14196,"Do check out our latest episode with Balaji : https://t.co/n6i0AeCx9S

More to come!",1.84E+18,replied_to,1.84E+18,
2024-10-05T19:45:19.000Z,29813965,2,6,108,0,3,15486,"Thank you on behalf of the Indian content industry @balajis &amp; @naval!

Love seeing our brown bretherin rip it apart on a world stage.

India to the world 🇮🇳🙏🏻♥️

The Butter Naan Brotherhood only grows more fierce.",1.84E+18,replied_to,1.84E+18,
2024-10-05T19:45:18.000Z,29813965,44,50,2189,9,109,104447,"The Naval bhaiyya (big brother) podcast happened because of another bhaiyya (big brother) named Balaji S.

This is why podcasting has been my life's best decision.

I get paid to meet (&amp; learn from) my idols.

Guided by masters at every stage 🙏🏻 https://t.co/o5I5nGuEpH",1.84E+18,,,multiple_images
2024-10-05T18:45:32.000Z,29813965,0,1,31,0,0,2915,"@EricRWeinstein @amitvarma @prvkhvr Exciting times up ahead! 
Can't wait to host Mr.Weinstein for an episode :)

And thank you, good sir!",1.84E+18,replied_to,1.84E+18,
2024-10-05T18:42:05.000Z,29813965,58,0,0,0,0,0,RT @EricRWeinstein: One of my goals is to better connect the pirate radio of the anglophone podcasting world to our counter-parts in India.…,1.84E+18,retweeted,1.84E+18,
2024-10-05T16:34:04.000Z,29813965,0,0,6,0,0,1385,@ThatGuy68598754 @naval Thank you Casey bhai 🙏🏻♥️,1.84E+18,replied_to,1.84E+18,
2024-10-05T08:48:45.000Z,29813965,12,11,100,3,27,11706,Catch the full length episode here : https://t.co/2fR00Vww7K https://t.co/s4AZZfDHhp,1.84E+18,replied_to,1.84E+18,
2024-10-05T08:47:45.000Z,29813965,19,7,195,2,53,20008,Naval's advice for content creators. https://t.co/8fqpeybKFG,1.84E+18,replied_to,1.84E+18,video
2024-10-05T08:46:34.000Z,29813965,4,1,60,0,9,7595,Asked Naval about weed as well. Led to a brief chat on intoxication &amp; mushrooms. https://t.co/ADiFu1741t,1.84E+18,replied_to,1.84E+18,video
2024-10-05T05:50:18.000Z,29813965,0,2,11,0,0,1180,@nimivashi15 Thank you ♥️ appreciate it,1.84E+18,replied_to,1.84E+18,
2024-10-04T16:40:51.000Z,29813965,26,4,292,3,72,41156,Nobody is better equipped to answer this question than Naval Ravikant. https://t.co/NYm7LrXJgC,1.84E+18,replied_to,1.84E+18,video
2024-10-04T16:40:15.000Z,29813965,22,1,252,4,43,33400,Does magic exist? 😉 https://t.co/ijzvGwUDGi,1.84E+18,replied_to,1.84E+18,video
